mcc_code,day,volume
4814,457,526966.260087
4814,458,534717.016909
4814,459,537665.141645
4814,460,531622.626588
4814,461,536926.591529
4814,462,554748.337038
4814,463,542614.8139
4814,464,536615.063653
4814,465,550074.400967
4814,466,553107.118461
4814,467,545773.125799
4814,468,545189.954654
4814,469,563957.132827
4814,470,553174.70158
4814,471,545673.109359
4814,472,560471.091584
4814,473,561790.841478
4814,474,556751.431992
4814,475,557023.593858
4814,476,575511.781382
4814,477,565233.287238
4814,478,559205.679508
4814,479,533200.152437
4814,480,458596.504995
4814,481,530957.2401
4814,482,528772.207859
4814,483,541836.368514
4814,484,534602.69443
4814,485,532630.403507
4814,486,489295.629622
4829,457,11534104.3959
4829,458,12109446.4086
4829,459,12368283.1908
4829,460,12295271.2648
4829,461,12364131.7693
4829,462,12364509.1137
4829,463,12075125.4754
4829,464,11836142.1109
4829,465,12574954.5032
4829,466,12896766.806
4829,467,12533957.8261
4829,468,12638436.6466
4829,469,12799133.4842
4829,470,12213741.0679
4829,471,11994322.8822
4829,472,12800305.3792
4829,473,13083488.0025
4829,474,12736398.904
4829,475,12831595.5259
4829,476,12991179.5065
4829,477,12581864.3044
4829,478,12296772.305
4829,479,11985906.6186
4829,480,10227641.1207
4829,481,12109446.4086
4829,482,11848068.5618
4829,483,12219333.5837
4829,484,12143494.2766
4829,485,11694314.5227
4829,486,10779845.7897
5499,457,267754.844354
5499,458,265732.258769
5499,459,265748.508793
5499,460,266366.745199
5499,461,269339.498711
5499,462,282004.718456
5499,463,279806.249296
5499,464,272636.953105
5499,465,270263.379684
5499,466,271439.277767
5499,467,272870.446242
5499,468,273455.052723
5499,469,286619.954087
5499,470,285090.655405
5499,471,278935.070577
5499,472,276862.044023
5499,473,276794.336946
5499,474,276718.186239
5499,475,277888.131896
5499,476,292828.43189
5499,477,293733.945701
5499,478,286497.30941
5499,479,264848.130824
5499,480,230179.203665
5499,481,264039.58696
5499,482,258946.680142
5499,483,275738.558015
5499,484,276785.874723
5499,485,271165.550993
5499,486,245139.179691
5541,457,345125.358386
5541,458,344272.053913
5541,459,345368.03947
5541,460,345801.067572
5541,461,347262.564148
5541,462,359991.964647
5541,463,360961.383844
5541,464,351265.250727
5541,465,352609.691353
5541,466,354673.927624
5541,467,355411.748189
5541,468,354738.967866
5541,469,366922.582192
5541,470,364397.197455
5541,471,358674.217983
5541,472,360652.64984
5541,473,361933.409961
5541,474,359815.986147
5541,475,361380.802179
5541,476,377211.63872
5541,477,372344.362279
5541,478,367708.320468
5541,479,346531.046487
5541,480,297311.324142
5541,481,339756.549905
5541,482,338357.619802
5541,483,357700.001274
5541,484,357415.897691
5541,485,351770.158847
5541,486,320539.415493
5200,457,48951.3300276
5200,458,48570.9891018
5200,459,47264.8717067
5200,460,49580.075354
5200,461,48648.9223648
5200,462,50151.8507763
5200,463,53015.3455941
5200,464,50440.1818819
5200,465,49454.9095751
5200,466,50513.2991424
5200,467,50412.2072884
5200,468,48334.9492414
5200,469,53232.9971138
5200,470,53786.804722
5200,471,50297.3619374
5200,472,50090.0576269
5200,473,50745.7908746
5200,474,49888.212294
5200,475,51400.5194021
5200,476,54004.2670545
5200,477,55210.0241038
5200,478,54371.4326359
5200,479,47658.5983384
5200,480,42317.4609438
5200,481,49090.3655196
5200,482,46212.5392828
5200,483,49299.6520515
5200,484,51858.6867925
5200,485,50700.4579122
5200,486,46478.446212
5732,457,107264.698833
5732,458,105044.973109
5732,459,102807.895677
5732,460,103764.414137
5732,461,105736.517878
5732,462,109618.447407
5732,463,109396.874434
5732,464,106752.878174
5732,465,106051.465683
5732,466,109319.764411
5732,467,110862.099516
5732,468,106956.00236
5732,469,109175.747296
5732,470,108998.497655
5732,471,111920.634216
5732,472,107924.45372
5732,473,108918.327923
5732,474,105960.457177
5732,475,107752.52988
5732,476,108658.181443
5732,477,114649.849059
5732,478,113242.341883
5732,479,104720.155282
5732,480,90393.8704758
5732,481,101707.20126
5732,482,101679.133068
5732,483,105700.86097
5732,484,110682.124521
5732,485,102518.253446
5732,486,95869.9821526
6011,457,16827381.804
6011,458,17209103.3422
6011,459,17698589.8287
6011,460,17636045.13
6011,461,17729404.2232
6011,462,18106703.5813
6011,463,17509480.4301
6011,464,17142532.613
6011,465,17893017.7273
6011,466,18461582.3616
6011,467,18154842.6143
6011,468,18188671.5743
6011,469,18592191.7576
6011,470,17992678.4009
6011,471,17551745.9718
6011,472,18254847.3095
6011,473,18695176.032
6011,474,18399148.7642
6011,475,18422747.4188
6011,476,18935192.1852
6011,477,18443561.7848
6011,478,17962502.7799
6011,479,17177096.2229
6011,480,14557929.8732
6011,481,17426849.8743
6011,482,17013277.7221
6011,483,17586061.2023
6011,484,17545319.3242
6011,485,17081952.8985
6011,486,15490720.9022
5331,457,194737.923354
5331,458,191382.834775
5331,459,191699.308638
5331,460,191746.238026
5331,461,196179.14019
5331,462,203870.447591
5331,463,202298.590066
5331,464,196708.041117
5331,465,196203.15034
5331,466,198115.30508
5331,467,197395.323498
5331,468,198285.092837
5331,469,208921.366315
5331,470,210589.644654
5331,471,204432.539352
5331,472,200186.861455
5331,473,202113.007377
5331,474,198673.724371
5331,475,204588.95013
5331,476,214247.795614
5331,477,209734.602419
5331,478,205555.076589
5331,479,193218.569781
5331,480,166526.426107
5331,481,191722.7719
5331,482,188436.794426
5331,483,199014.400176
5331,484,204495.089344
5331,485,197649.136136
5331,486,178119.919639
5912,457,181826.406745
5912,458,184375.758257
5912,459,183312.49704
5912,460,182132.692538
5912,461,184969.114249
5912,462,188183.265372
5912,463,184488.631907
5912,464,187046.588059
5912,465,189593.499496
5912,466,189581.897464
5912,467,188177.507303
5912,468,187499.287489
5912,469,193692.093304
5912,470,192704.923477
