mcc_code,day,volume
4814,457,9946585.59672
4814,458,11454407.4644
4814,459,11215007.4549
4814,460,10950179.6059
4814,461,11327863.6612
4814,462,12077592.9028
4814,463,11686369.1602
4814,464,8714171.114
4814,465,11336110.5135
4814,466,11347851.1784
4814,467,11347851.1784
4814,468,11609055.736
4814,469,12003920.2268
4814,470,10956448.5672
4814,471,8487246.65997
4814,472,11377245.1501
4814,473,11660650.3645
4814,474,11109654.5183
4814,475,11660169.679
4814,476,11815084.0118
4814,477,11357503.3382
4814,478,8636435.01317
4814,479,12554295.906
4814,480,9661181.91743
4814,481,12340556.8216
4814,482,12192575.5926
4814,483,12598573.6822
4814,484,11357503.3382
4814,485,8204478.72749
4814,486,17578788.3462
4829,457,140107431.472
4829,458,335277732.811
4829,459,345328131.053
4829,460,329264903.033
4829,461,334098716.076
4829,462,357747213.826
4829,463,208247504.276
4829,464,159190522.656
4829,465,334742548.932
4829,466,352037864.233
4829,467,343817361.6
4829,468,360697312.221
4829,469,365559047.612
4829,470,183350406.967
4829,471,140107431.472
4829,472,326929766.832
4829,473,343151244.795
4829,474,340241481.998
4829,475,330362922.444
4829,476,350441199.314
4829,477,183350406.967
4829,478,152048439.092
4829,479,270985228.101
4829,480,308296786.087
4829,481,345279364.389
4829,482,330115884.045
4829,483,357985371.204
4829,484,194529328.284
4829,485,152777536.912
4829,486,206293197.123
5499,457,5571985.15397
5499,458,6076876.31213
5499,459,5746693.90519
5499,460,6461589.3963
5499,461,6277288.18904
5499,462,7561036.20007
5499,463,6685442.45595
5499,464,5730133.51551
5499,465,6443238.46379
5499,466,6550087.36757
5499,467,6132096.81237
5499,468,6834030.63236
5499,469,7197780.59079
5499,470,6919046.50047
5499,471,6206578.12995
5499,472,6372091.80449
5499,473,6550087.36757
5499,474,6581057.22387
5499,475,6595838.33754
5499,476,7727923.35213
5499,477,7049125.47406
5499,478,6150117.19469
5499,479,6047954.50694
5499,480,5003221.58308
5499,481,6535672.69534
5499,482,6175681.6418
5499,483,6713238.76453
5499,484,6593098.29768
5499,485,5112368.33037
5499,486,4873264.16522
5541,457,7891109.73063
5541,458,7334210.64247
5541,459,7590427.79213
5541,460,7734513.44676
5541,461,7935155.65128
5541,462,8524370.48373
5541,463,7908098.6171
5541,464,7118699.8836
5541,465,7577418.22628
5541,466,8147876.26328
5541,467,7591787.76387
5541,468,7816573.36948
5541,469,8087080.79956
5541,470,8277340.18421
5541,471,7058602.595
5541,472,8254178.21263
5541,473,8494703.74354
5541,474,8156583.44923
5541,475,8707247.48461
5541,476,8936074.87343
5541,477,7880952.13362
5541,478,7254004.93841
5541,479,8880803.94799
5541,480,7084231.19445
5541,481,8423319.27311
5541,482,9423623.57966
5541,483,9950434.4599
5541,484,9424757.07878
5541,485,7804735.93868
5541,486,10483434.4466
5200,457,987690.422649
5200,458,1082912.59997
5200,459,941242.906592
5200,460,1249976.24945
5200,461,929871.108391
5200,462,1262500.52767
5200,463,1115831.74894
5200,464,1001353.53113
5200,465,971077.949132
5200,466,1215310.52779
5200,467,1130466.84941
5200,468,1249292.19452
5200,469,1473376.66616
5200,470,1460074.63229
5200,471,894197.556641
5200,472,1209467.52225
5200,473,1080038.91724
5200,474,1078041.44877
5200,475,1023596.17103
5200,476,1140255.64273
5200,477,1199592.907
5200,478,967209.987911
5200,479,1222844.37791
5200,480,1139203.79253
5200,481,1045827.33235
5200,482,1060913.87013
5200,483,1406634.82968
5200,484,1200278.25995
5200,485,1145462.9618
5200,486,843316.755131
5732,457,1922241.38822
5732,458,2277897.8534
5732,459,1848700.91799
5732,460,2302518.63951
5732,461,2792814.9568
5732,462,2885842.46043
5732,463,2435160.40752
